temps(ms),iterations,C,alpha,nombre d'enfants,simulations noeud racine,simulations noeud enfant sélectionné,position noeud racine,position noeud enfant sélectionné,recompenses,
50,5895,3.0,0.4,97,5895,61,0.0,0.1776016506093987,70.0,
50,6469,3.0,0.4,101,6469,65,0.1776016506093987,0.5975923320847208,140.0,
50,5930,3.0,0.4,97,5930,62,0.0,0.7862726310312788,70.0,
50,6472,3.0,0.4,101,6472,69,0.7862726310312788,1.7834791033591713,170.0,
50,5988,3.0,0.4,98,5988,62,0.0,0.6440334483177718,70.0,
50,6442,3.0,0.4,101,6442,67,0.6440334483177718,0.9855739054603899,140.0,

50,483,3.0,0.4,22,483,483,0.0,0.2047795359513348,70.0,
50,5223,3.0,0.4,44,5223,5223,0.2047795359513348,0.37181022478396686,140.0,
50,4539,3.0,0.4,42,4539,4539,0.0,0.05759239262994953,70.0,
50,6202,3.0,0.4,46,6202,6202,0.05759239262994953,0.8924339607356774,140.0,
50,5020,3.0,0.4,44,5020,5020,0.0,0.3163628676883644,70.0,
50,6589,3.0,0.4,47,6589,6589,0.3163628676883644,0.33393536627588116,140.0,
50,4714,3.0,0.4,43,4714,4714,0.0,0.7585093897177206,70.0,
50,6314,3.0,0.4,47,6314,6314,0.7585093897177206,1.4373710204283423,70.0,
50,5130,3.0,0.4,44,5130,5130,0.0,0.5867098514558708,70.0,
50,6537,3.0,0.4,47,6537,6537,0.5867098514558708,0.7886803802822007,140.0,
50,5219,3.0,0.4,44,5219,5219,0.0,0.6683568652883638,70.0,
50,6512,3.0,0.4,47,6512,6513,0.6683568652883638,0.8396887546909112,140.0,
50,5225,3.0,0.4,44,5225,5225,0.0,0.5690394997853367,70.0,
50,6565,3.0,0.4,47,6565,6566,0.5690394997853367,0.6693515575287132,140.0,
50,5280,3.0,0.4,44,5280,5280,0.0,0.026759995271671166,70.0,
50,6626,3.0,0.4,47,6626,6626,0.026759995271671166,0.7030199515946471,140.0,
50,5052,3.0,0.4,44,5052,5052,0.0,0.7839321186544539,70.0,
50,6677,3.0,0.4,47,6677,6678,0.7839321186544539,1.7262594305027674,170.0,
50,5479,3.0,0.4,45,5479,5479,0.0,0.054865469039452996,70.0,
50,6749,3.0,0.4,47,6749,6749,0.054865469039452996,0.9665482219526937,140.0,
50,5472,3.0,0.4,45,5472,5472,0.0,0.633630023182951,70.0,
50,6720,3.0,0.4,47,6720,6721,0.633630023182951,0.8685139859115255,140.0,
50,5457,3.0,0.4,45,5457,5457,0.0,0.793412347684051,70.0,
50,6714,3.0,0.4,47,6714,6715,0.793412347684051,1.7043647528826305,170.0,
50,5479,3.0,0.4,45,5479,5479,0.0,0.16521123277294114,70.0,
50,6467,3.0,0.4,47,6467,6467,0.16521123277294114,0.30684949267406225,140.0,
50,5507,3.0,0.4,45,5507,5507,0.0,0.702307183019577,70.0,
50,6696,3.0,0.4,47,6696,6696,0.702307183019577,1.0726702676868611,70.0,
50,5512,3.0,0.4,45,5512,5512,0.0,0.29849429298442576,70.0,
50,6715,3.0,0.4,47,6715,6716,0.29849429298442576,0.46560291315944524,140.0,
50,5490,3.0,0.4,45,5490,5490,0.0,0.6639881373432384,70.0,
50,6648,3.0,0.4,47,6648,6648,0.6639881373432384,0.7171866081968787,140.0,
50,5305,3.0,0.4,44,5305,5305,0.0,0.07023705014737125,70.0,
50,6714,3.0,0.4,47,6714,6714,0.07023705014737125,0.2664645024734389,140.0,
50,5517,3.0,0.4,45,5517,5517,0.0,0.7789697744387707,70.0,
50,6671,3.0,0.4,47,6671,6671,0.7789697744387707,0.8430426915563956,140.0,
50,5491,3.0,0.4,45,5491,5491,0.0,0.1756311068608013,70.0,
50,6744,3.0,0.4,47,6744,6744,0.1756311068608013,0.3011616691364415,140.0,
50,5455,3.0,0.4,45,5455,5455,0.0,0.08610208142739639,70.0,
50,6720,3.0,0.4,47,6720,6720,0.08610208142739639,0.11688686730373798,140.0,
50,5475,3.0,0.4,45,5475,5475,0.0,0.4948688863322406,70.0,
50,6684,3.0,0.4,47,6684,6685,0.4948688863322406,0.8201419143607555,140.0,
50,5478,3.0,0.4,45,5478,5478,0.0,0.3655099739453499,70.0,
50,6685,3.0,0.4,47,6685,6685,0.3655099739453499,0.748191929432487,140.0,
50,5510,3.0,0.4,45,5510,5510,0.0,0.8653829597250194,70.0,
50,6691,3.0,0.4,47,6691,6691,0.8653829597250194,1.6455908172756848,70.0,
50,5501,3.0,0.4,45,5501,5501,0.0,0.272818411187136,70.0,
50,6712,3.0,0.4,47,6712,6712,0.272818411187136,0.910941615308182,140.0,
50,5524,3.0,0.4,45,5524,5524,0.0,0.9284531142426752,70.0,
50,6612,3.0,0.4,47,6612,6613,0.9284531142426752,1.8214967857439248,170.0,
50,5548,3.0,0.4,45,5548,5548,0.0,0.09269255963735978,70.0,
50,6659,3.0,0.4,47,6659,6659,0.09269255963735978,0.9759986687728655,140.0,
50,5530,3.0,0.4,45,5530,5530,0.0,0.9296079160922779,70.0,
50,6638,3.0,0.4,47,6638,6641,0.9296079160922779,1.7441931177399168,170.0,
50,5532,3.0,0.4,45,5532,5532,0.0,0.9585444250055395,70.0,
50,6667,3.0,0.4,47,6667,6667,0.9585444250055395,0.9817406652357719,140.0,
50,5500,3.0,0.4,45,5500,5500,0.0,0.7720282145104761,70.0,
50,6700,3.0,0.4,47,6700,6701,0.7720282145104761,1.7526557888923855,170.0,
50,5463,3.0,0.4,45,5463,5463,0.0,0.12573026214842686,70.0,
50,6740,3.0,0.4,47,6740,6740,0.12573026214842686,0.582319318371409,140.0,
50,5569,3.0,0.4,45,5569,5569,0.0,0.3910606402309368,70.0,
50,6704,3.0,0.4,47,6704,6704,0.3910606402309368,0.7088503339367261,140.0,
50,5512,3.0,0.4,45,5512,5512,0.0,0.0361613795344069,70.0,
50,6714,3.0,0.4,47,6714,6714,0.0361613795344069,0.7820208756779251,140.0,
50,5488,3.0,0.4,45,5488,5488,0.0,0.7160392427474578,70.0,
50,6728,3.0,0.4,47,6728,6729,0.7160392427474578,0.785802522747151,140.0,
50,5524,3.0,0.4,45,5524,5524,0.0,0.6593107266522289,70.0,
50,6706,3.0,0.4,47,6706,6706,0.6593107266522289,1.4577764408877716,70.0,
50,5507,3.0,0.4,45,5507,5507,0.0,0.18198681270977368,70.0,
50,6740,3.0,0.4,47,6740,6740,0.18198681270977368,0.385027668380061,140.0,
50,5528,3.0,0.4,45,5528,5528,0.0,0.4859311967340826,70.0,
50,6728,3.0,0.4,47,6728,6729,0.4859311967340826,0.587278793736463,140.0,
50,5509,3.0,0.4,45,5509,5509,0.0,0.6640551493447648,70.0,
50,6676,3.0,0.4,47,6676,6676,0.6640551493447648,0.6831120894968898,140.0,
50,5568,3.0,0.4,45,5568,5568,0.0,0.2967438107664033,70.0,
50,6711,3.0,0.4,47,6711,6711,0.2967438107664033,0.36159342184831267,140.0,
50,5570,3.0,0.4,45,5570,5570,0.0,0.573052849542942,70.0,
50,6696,3.0,0.4,47,6696,6697,0.573052849542942,0.8982822601396021,140.0,
50,5506,3.0,0.4,45,5506,5506,0.0,0.8541413416033188,70.0,
50,6679,3.0,0.4,47,6679,6680,0.8541413416033188,1.782678978508722,170.0,
50,5522,3.0,0.4,45,5522,5522,0.0,0.4315028410206563,70.0,
50,6745,3.0,0.4,47,6745,6745,0.4315028410206563,0.6734455901629849,140.0,
50,5521,3.0,0.4,45,5521,5521,0.0,0.658681932776342,70.0,
50,6735,3.0,0.4,47,6735,6735,0.658681932776342,0.6791662367825513,140.0,
50,5473,3.0,0.4,45,5473,5473,0.0,0.04412800969594177,70.0,
50,6745,3.0,0.4,47,6745,6745,0.04412800969594177,0.8633688476777706,140.0,
50,5527,3.0,0.4,45,5527,5527,0.0,0.10725814759267671,70.0,
50,6771,3.0,0.4,47,6771,6771,0.10725814759267671,0.3129060807749847,140.0,
50,5549,3.0,0.4,45,5549,5549,0.0,0.4074477352636061,70.0,
50,6747,3.0,0.4,47,6747,6747,0.4074477352636061,0.7275826591851129,140.0,
50,5540,3.0,0.4,45,5540,5540,0.0,2.547311317736556E-4,70.0,
50,6140,3.0,0.4,46,6140,6140,2.547311317736556E-4,0.19875678483267545,140.0,
50,5486,3.0,0.4,45,5486,5486,0.0,0.23631578024627264,70.0,
50,6735,3.0,0.4,47,6735,6735,0.23631578024627264,0.9593199756839484,140.0,
50,5510,3.0,0.4,45,5510,5510,0.0,0.7318513391849522,70.0,
50,6739,3.0,0.4,47,6739,6740,0.7318513391849522,0.7586966050053779,140.0,
50,5204,3.0,0.4,44,5204,5204,0.0,0.36908129634048914,70.0,
50,6703,3.0,0.4,47,6703,6703,0.36908129634048914,1.255818861770357,70.0,
50,5539,3.0,0.4,45,5539,5539,0.0,0.480503355667387,70.0,
50,6688,3.0,0.4,47,6688,6688,0.480503355667387,0.6769497979893193,140.0,
50,5520,3.0,0.4,45,5520,5520,0.0,0.37287082239608205,70.0,
50,6658,3.0,0.4,47,6658,6658,0.37287082239608205,0.8634918661925378,140.0,
50,5541,3.0,0.4,45,5541,5541,0.0,0.32842795762991217,70.0,
50,6718,3.0,0.4,47,6718,6719,0.32842795762991217,0.840281253918237,140.0,
50,5552,3.0,0.4,45,5552,5552,0.0,0.184111396912655,70.0,
50,6708,3.0,0.4,47,6708,6708,0.184111396912655,0.4379534430724634,140.0,
50,5497,3.0,0.4,45,5497,5497,0.0,0.26608396741933893,70.0,
50,6766,3.0,0.4,47,6766,6766,0.26608396741933893,0.9145663317018419,140.0,
50,5493,3.0,0.4,45,5493,5493,0.0,0.7273615526947562,70.0,
50,6735,3.0,0.4,47,6735,6737,0.7273615526947562,1.7089895723210886,170.0,
50,5474,3.0,0.4,45,5474,5474,0.0,0.3433672363453141,70.0,
50,6743,3.0,0.4,47,6743,6743,0.3433672363453141,0.7518129098392266,140.0,
50,5419,3.0,0.4,45,5419,5419,0.0,0.49025012499135445,70.0,
50,6733,3.0,0.4,47,6733,6733,0.49025012499135445,0.5660817822531962,140.0,
50,5533,3.0,0.4,45,5533,5533,0.0,0.23811492470617113,70.0,
50,6716,3.0,0.4,47,6716,6716,0.23811492470617113,0.6303368353175267,140.0,
50,5543,3.0,0.4,45,5543,5543,0.0,0.46149393188203625,70.0,
50,6670,3.0,0.4,47,6670,6670,0.46149393188203625,0.6389126219017993,140.0,
50,5540,3.0,0.4,45,5540,5540,0.0,0.9715030347003955,70.0,
50,6629,3.0,0.4,47,6629,6630,0.9715030347003955,1.9430155547055767,170.0,
50,5544,3.0,0.4,45,5544,5544,0.0,0.4824529309231117,70.0,
50,6722,3.0,0.4,47,6722,6723,0.4824529309231117,0.7913482164384675,140.0,
50,5546,3.0,0.4,45,5546,5546,0.0,0.6961644089565971,70.0,
50,6704,3.0,0.4,47,6704,6704,0.6961644089565971,0.8126572885012606,140.0,
50,5509,3.0,0.4,45,5509,5509,0.0,0.6947074471986222,70.0,
50,6758,3.0,0.4,47,6758,6759,0.6947074471986222,0.887720227686489,140.0,
50,5502,3.0,0.4,45,5502,5502,0.0,0.14001820505876472,70.0,
50,6721,3.0,0.4,47,6721,6721,0.14001820505876472,0.2925259880747796,140.0,
50,5517,3.0,0.4,45,5517,5517,0.0,0.9781867085529508,70.0,
50,6679,3.0,0.4,47,6679,6681,0.9781867085529508,1.917873670686619,170.0,
50,5522,3.0,0.4,45,5522,5522,0.0,0.00819092784269726,70.0,
50,6757,3.0,0.4,47,6757,6757,0.00819092784269726,0.8382257077987827,140.0,
50,5439,3.0,0.4,45,5439,5439,0.0,0.4476359567694622,70.0,
50,6670,3.0,0.4,47,6670,6670,0.4476359567694622,0.9662907832249222,140.0,
50,5493,3.0,0.4,45,5493,5493,0.0,0.32417160365547115,70.0,
50,6670,3.0,0.4,47,6670,6670,0.32417160365547115,0.33925353681795556,140.0,
50,5558,3.0,0.4,45,5558,5558,0.0,0.07005879021833172,70.0,
50,6751,3.0,0.4,47,6751,6751,0.07005879021833172,0.34376864142296526,140.0,
